Date,Confirmed cases Barisal,Case rate Barisal,Deaths Barisal,Death Rate Barisal,Confirmed cases CTG,Case rate CTG,Deaths CTG,Death Rate CTG,Confirmed cases DHK,Case rate DHK,Deaths DHK,Death Rate DHK,Confirmed cases Khulna,Case rate Khulna,Deaths Khulna,Death Rate Khulna,Confirmed cases MMsingh,Case rate MMsingh,Deaths MMsingh,Death Rate MMsingh,Confirmed cases Rajshahi,Case rate Rajshahi,Deaths Rajshahi,Death Rate Rajshahi,Confirmed cases Rangpur,Case rate Rangpur,Deaths Rangpur,Death Rate Rangpur,Confirmed cases Sylhet,Case rate Sylhet,Deaths Sylhet,Death Rate Sylhet,Confirmed cases allover Bangladesh,Case rate allover Bangladesh,Deaths allover Bangladesh,Death Rate allover Bangladesh
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,1,7,,,,,,,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,1,13,,,1,50,,,55,40,,,,,,,,,,,1,50,,,,,,,,,,,,,,
Mar-20,,,,,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25
Mar-20,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25,,,1,25
Mar-20,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7
Mar-20,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7,,,1,16.7
Mar-20,,,1,0,,,1,0,1,100,1,0,,,1,0,,,1,0,,,1,0,,,1,0,,,1,0,,,1,0
Mar-20,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,1,100,,,,,,,,,,,,,,,1,100,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-20,,,1,33.3,,,1,33.3,,,1,33.3,,,1,33.3,,,1,33.3,,,1,33.3,,,1,33.3,1,100,1,33.3,,,1,33.3
Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,1,33,,,,,,,5,2,,
Apr-20,,,2,22.2,,,2,22.2,17,17,2,22.2,,,2,22.2,,,2,22.2,,,2,22.2,,,2,22.2,1,17,2,22.2,9,2,2,22.2
Apr-20,,,1,5.6,,,1,5.6,14,54,1,5.6,,,1,5.6,3,16,1,5.6,,,1,5.6,,,1,5.6,2,100,1,5.6,18,5,1,5.6
Apr-20,,,3,8.6,,,3,8.6,22,37,3,8.6,,,3,8.6,,,3,8.6,,,3,8.6,2,18,3,8.6,,,3,8.6,35,7,3,8.6
Apr-20,,,5,12.2,2,7,5,12.2,36,80,5,12.2,,,5,12.2,,,5,12.2,,,5,12.2,4,50,5,12.2,,,5,12.2,41,6,5,12.2
Apr-20,1,25,3,5.6,6,23,3,5.6,110,50,3,5.6,,,3,5.6,3,9,3,5.6,,,3,5.6,1,13,3,5.6,1,3,3,5.6,54,6,3,5.6
Apr-20,,,1,0.9,4,12,1,0.9,98,61,1,0.9,,,1,0.9,4,8,1,0.9,3,100,1,0.9,2,20,1,0.9,2,2,1,0.9,112,12,1,0.9
Apr-20,,,6,6.4,9,25,6,6.4,55,83,6,6.4,2,9,6,6.4,3,7,6,6.4,1,100,6,6.4,1,14,6,6.4,1,1,6,6.4,94,8,6,6.4
Apr-20,2,13,3,5.2,6,50,3,5.2,34,69,3,5.2,1,3,3,5.2,3,75,3,5.2,,,3,5.2,7,58,3,5.2,,,3,5.2,58,6,3,5.2
Apr-20,8,35,4,2.9,3,9,4,2.9,84,41,4,2.9,4,9,4,2.9,13,24,4,2.9,3,75,4,2.9,3,20,4,2.9,7,8,4,2.9,139,10,4,2.9
Apr-20,8,73,5,2.7,8,36,5,2.7,129,25,5,2.7,5,21,5,2.7,15,21,5,2.7,8,73,5,2.7,4,50,5,2.7,1,1,5,2.7,182,12,5,2.7
Apr-20,4,44,7,3.3,6,17,7,3.3,129,40,7,3.3,3,5,7,3.3,19,16,7,3.3,1,50,7,3.3,13,38,7,3.3,6,7,7,3.3,209,11,7,3.3
Apr-20,4,13,4,1.8,6,29,4,1.8,187,28,4,1.8,,,4,1.8,23,16,4,1.8,,,4,1.8,3,43,4,1.8,3,5,4,1.8,219,13,4,1.8
Apr-20,8,38,10,2.9,12,30,10,2.9,245,62,10,2.9,2,1,10,2.9,22,15,10,2.9,1,33,10,2.9,,,10,2.9,2,3,10,2.9,341,17,10,2.9
Apr-20,8,40,15,5.6,8,18,15,5.6,250,33,15,5.6,1,1,15,5.6,24,15,15,5.6,3,100,15,5.6,8,44,15,5.6,4,5,15,5.6,266,12,15,5.6
Apr-20,4,22,9,2.9,11,85,9,2.9,263,66,9,2.9,6,21,9,2.9,17,10,9,2.9,,,9,2.9,5,100,9,2.9,2,100,9,2.9,306,14,9,2.9
Apr-20,6,60,7,2.2,8,14,7,2.2,344,61,7,2.2,6,100,7,2.2,23,32,7,2.2,1,50,7,2.2,3,100,7,2.2,3,100,7,2.2,312,12,7,2.2
Apr-20,8,36,10,2,6,18,10,2,276,53,10,2,4,100,10,2,33,16,10,2,6,75,10,2,11,100,10,2,12,100,10,2,492,18,10,2
Apr-20,8,27,9,2.1,7,54,9,2.1,282,47,9,2.1,7,100,9,2.1,37,29,9,2.1,3,100,9,2.1,5,63,9,2.1,10,77,9,2.1,434,15,9,2.1
Apr-20,6,29,10,2.6,6,75,10,2.6,215,78,10,2.6,9,100,10,2.6,6,100,10,2.6,,,10,2.6,10,83,10,2.6,20,100,10,2.6,390,13,10,2.6
Apr-20,8,33,7,1.7,8,13,7,1.7,157,69,7,1.7,4,100,7,1.7,8,80,7,1.7,2,67,7,1.7,10,71,7,1.7,20,91,7,1.7,414,12,7,1.7
Apr-20,21,55,4,0.8,10,16,4,0.8,304,77,4,0.8,11,16,4,0.8,37,97,4,0.8,6,75,4,0.8,18,100,4,0.8,12,17,4,0.8,503,14,4,0.8
Apr-20,7,29,9,2.9,3,6,9,2.9,183,61,9,2.9,2,3,9,2.9,12,100,9,2.9,41,11,9,2.9,6,17,9,2.9,10,16,9,2.9,309,9,9,2.9
Apr-20,7,29,5,1.2,5,6,5,1.2,322,43,5,1.2,12,8,5,1.2,33,97,5,1.2,16,94,5,1.2,11,69,5,1.2,60,26,5,1.2,418,12,5,1.2
Apr-20,9,15,7,1.4,22,28,7,1.4,277,66,7,1.4,2,6,7,1.4,30,100,7,1.4,6,12,7,1.4,25,96,7,1.4,35,40,7,1.4,497,13,7,1.4
Apr-20,3,25,3,0.5,55,30,3,0.5,391,73,3,0.5,5,100,3,0.5,23,96,3,0.5,5,100,3,0.5,8,11,3,0.5,12,23,3,0.5,549,13,3,0.5
Apr-20,10,30,8,1.2,43,38,8,1.2,505,46,8,1.2,5,26,8,1.2,24,26,8,1.2,4,5,8,1.2,4,100,8,1.2,4,15,8,1.2,641,13,8,1.2
Apr-20,2,5,5,0.9,31,13,5,0.9,489,52,5,0.9,8,80,5,0.9,18,86,5,0.9,30,77,5,0.9,4,80,5,0.9,19,9,5,0.9,564,11,5,0.9
May-20,2,3,2,0.4,12,7,2,0.4,445,55,2,0.4,3,75,2,0.4,8,89,2,0.4,2,100,2,0.4,2,100,2,0.4,13,18,2,0.4,571,10,2,0.4
May-20,6,8,5,0.9,15,12,5,0.9,320,43,5,0.9,5,5,5,0.9,25,93,5,0.9,2,100,5,0.9,13,28,5,0.9,4,1,5,0.9,552,9,5,0.9
May-20,7,6,2,0.3,16,4,2,0.3,297,29,2,0.3,1,1,2,0.3,23,96,2,0.3,1,4,2,0.3,2,50,2,0.3,4,80,2,0.3,665,12,2,0.3
May-20,7,8,5,0.7,6,5,5,0.7,315,28,5,0.7,2,1,5,0.7,3,60,5,0.7,2,4,5,0.7,4,67,5,0.7,3,5,5,0.7,688,11,5,0.7
May-20,5,3,1,0.1,27,13,1,0.1,294,26,1,0.1,9,8,1,0.1,37,90,1,0.1,13,4,1,0.1,16,89,1,0.1,10,53,1,0.1,786,14,1,0.1
May-20,4,3,3,0.4,17,8,3,0.4,275,21,3,0.4,1,2,3,0.4,6,43,3,0.4,1,3,3,0.4,4,80,3,0.4,2,1,3,0.4,790,13,3,0.4
May-20,,,13,1.8,13,4,13,1.8,240,22,13,1.8,1,5,13,1.8,25,13,13,1.8,37,5,13,1.8,11,100,13,1.8,3,2,13,1.8,706,12,13,1.8
May-20,12,23,7,1,3,2,7,1,396,37,7,1,1,1,7,1,14,78,7,1,5,4,7,1,8,11,7,1,8,15,7,1,709,12,7,1
May-20,4,6,8,1.3,10,10,8,1.3,269,42,8,1.3,1,2,8,1.3,21,100,8,1.3,22,13,8,1.3,3,27,8,1.3,7,1,8,1.3,636,12,8,1.3
May-20,7,9,14,1.6,,,14,1.6,208,17,14,1.6,1,4,14,1.6,13,68,14,1.6,30,16,14,1.6,3,100,14,1.6,16,4,14,1.6,887,16,14,1.6
May-20,3,30,11,1.1,1,17,11,1.1,222,30,11,1.1,,,11,1.1,25,89,11,1.1,2,2,11,1.1,,,11,1.1,3,17,11,1.1,1034,14,11,1.1
May-20,6,7,11,1.1,27,9,11,1.1,84,15,11,1.1,12,32,11,1.1,6,100,11,1.1,1,4,11,1.1,,,11,1.1,12,6,11,1.1,969,14,11,1.1
May-20,,,19,1.6,3,4,19,1.6,122,15,19,1.6,,,19,1.6,19,90,19,1.6,,,19,1.6,1,100,19,1.6,8,50,19,1.6,1162,15,19,1.6
May-20,,,14,1.3,4,5,14,1.3,145,22,14,1.3,1,33,14,1.3,22,96,14,1.3,2,3,14,1.3,,,14,1.3,,,14,1.3,1041,14,14,1.3
May-20,,,15,1.2,11,11,15,1.2,69,15,15,1.2,1,100,15,1.2,11,100,15,1.2,,,15,1.2,54,13,15,1.2,15,7,15,1.2,1202,14,15,1.2
May-20,14,5,16,1.7,35,12,16,1.7,296,23,16,1.7,10,26,16,1.7,32,89,16,1.7,16,8,16,1.7,11,4,16,1.7,27,5,16,1.7,930,14,16,1.7
May-20,15,5,14,1.1,58,11,14,1.1,163,14,14,1.1,6,8,14,1.1,86,16,14,1.1,6,3,14,1.1,5,5,14,1.1,16,9,14,1.1,1273,16,14,1.1
May-20,10,13,21,1.3,70,16,21,1.3,277,27,21,1.3,4,6,21,1.3,26,4,21,1.3,19,6,21,1.3,9,9,21,1.3,10,11,21,1.3,1602,16,21,1.3
