Date,Region,Type,Value
2020-03-06,Barisal,Confirmed Cases,1.0
2020-03-08,Barisal,Confirmed Cases,1.0
2020-03-09,Barisal,Confirmed Cases,0.0
2020-03-18,Barisal,Confirmed Cases,0.0
2020-03-19,Barisal,Confirmed Cases,0.0
2020-03-20,Barisal,Confirmed Cases,0.0
2020-03-21,Barisal,Confirmed Cases,0.0
2020-03-22,Barisal,Confirmed Cases,0.0
2020-03-23,Barisal,Confirmed Cases,0.0
2020-03-24,Barisal,Confirmed Cases,0.0
2020-03-25,Barisal,Confirmed Cases,0.0
2020-03-26,Barisal,Confirmed Cases,0.0
2020-03-27,Barisal,Confirmed Cases,0.0
2020-03-31,Barisal,Confirmed Cases,0.0
2020-04-01,Barisal,Confirmed Cases,0.0
2020-04-03,Barisal,Confirmed Cases,0.0
2020-04-04,Barisal,Confirmed Cases,0.0
2020-04-05,Barisal,Confirmed Cases,0.0
2020-04-06,Barisal,Confirmed Cases,0.0
2020-04-07,Barisal,Confirmed Cases,0.0
2020-04-08,Barisal,Confirmed Cases,1.0
2020-04-09,Barisal,Confirmed Cases,0.0
2020-04-10,Barisal,Confirmed Cases,0.0
2020-04-11,Barisal,Confirmed Cases,2.0
2020-04-12,Barisal,Confirmed Cases,8.0
2020-04-13,Barisal,Confirmed Cases,8.0
2020-04-14,Barisal,Confirmed Cases,4.0
2020-04-15,Barisal,Confirmed Cases,4.0
2020-04-16,Barisal,Confirmed Cases,8.0
2020-04-17,Barisal,Confirmed Cases,8.0
2020-04-18,Barisal,Confirmed Cases,4.0
2020-04-19,Barisal,Confirmed Cases,6.0
2020-04-20,Barisal,Confirmed Cases,8.0
2020-04-21,Barisal,Confirmed Cases,8.0
2020-04-22,Barisal,Confirmed Cases,6.0
2020-04-23,Barisal,Confirmed Cases,8.0
2020-04-24,Barisal,Confirmed Cases,21.0
2020-04-25,Barisal,Confirmed Cases,7.0
2020-04-26,Barisal,Confirmed Cases,7.0
2020-04-27,Barisal,Confirmed Cases,9.0
2020-04-28,Barisal,Confirmed Cases,3.0
2020-04-29,Barisal,Confirmed Cases,10.0
2020-04-30,Barisal,Confirmed Cases,2.0
2020-05-01,Barisal,Confirmed Cases,2.0
2020-05-02,Barisal,Confirmed Cases,6.0
2020-05-03,Barisal,Confirmed Cases,7.0
2020-05-04,Barisal,Confirmed Cases,7.0
2020-05-05,Barisal,Confirmed Cases,5.0
2020-05-06,Barisal,Confirmed Cases,4.0
